n_repeats,n_split,DesisionTreeRegressor_mse,SVR_mse,KNeighborsRegressor_mse,MLPRegressor_mse
0,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,1.2373743539027209
0,1,0.5237313099799547,0.3260534657211705,0.49470205810673534,0.636685486663341
0,2,0.5423324517107676,0.38745168748784153,0.4401003411420272,1.2443547115073899
0,3,0.5027506524193421,0.32220052426636203,0.49517475127173793,0.6574346293158654
0,4,0.6039250518585887,0.4177098918941251,0.5106202781166117,0.5291493936346108
1,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,0.427760160346331
1,1,0.5237313099799544,0.3260534657211705,0.49470205810673534,0.4293089154311182
1,2,0.5423324517107676,0.38745168748784153,0.4401003411420272,8.927773158146321
1,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.4535183724807479
1,4,0.6032648025512883,0.4177098918941251,0.5106202781166117,0.6689375466463033
2,0,0.5366302390801685,0.3101147889709212,0.3416604662610591,0.8703261543184037
2,1,0.512178788908975,0.3260534657211705,0.49470205810673534,0.5650124265444836
2,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,1.0876937453646924
2,3,0.5027506524193421,0.32220052426636203,0.49517475127173793,0.576140125802786
2,4,0.6039250518585889,0.4177098918941251,0.5106202781166117,0.5186216403146248
3,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,3.0666377757850722
3,1,0.5121787889089747,0.3260534657211705,0.49470205810673534,0.4102039050618073
3,2,0.5492037699343016,0.38745168748784153,0.4401003411420272,1.1006539180541774
3,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.438041638030423
3,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.45455896166242465
4,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,2.0316432504970017
4,1,0.5237313099799547,0.3260534657211705,0.49470205810673534,0.40478178895164274
4,2,0.5423324517107676,0.38745168748784153,0.4401003411420272,0.8499453191908469
4,3,0.5027506524193421,0.32220052426636203,0.49517475127173793,0.6090103805827787
4,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.6556398124827341
5,0,0.5366302390801688,0.3101147889709212,0.3416604662610591,1.9792166543031302
5,1,0.5237313099799547,0.3260534657211705,0.49470205810673534,0.6016028339065346
5,2,0.5492037699343015,0.38745168748784153,0.4401003411420272,5.285664562092785
5,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.5643403441920539
5,4,0.6039250518585887,0.4177098918941251,0.5106202781166117,0.5316161758531195
6,0,0.5366302390801688,0.3101147889709212,0.3416604662610591,0.9494391345000772
6,1,0.5237313099799548,0.3260534657211705,0.49470205810673534,0.646157310941551
6,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,8.798898414365878
6,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.5428919022451906
6,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.6115637551538684
7,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,1.291828411575603
7,1,0.5121787889089748,0.3260534657211705,0.49470205810673534,0.5396847650821007
7,2,0.5423324517107676,0.38745168748784153,0.4401003411420272,1.6118761403134618
7,3,0.5027506524193421,0.32220052426636203,0.49517475127173793,0.5531226050484757
7,4,0.6039250518585886,0.4177098918941251,0.5106202781166117,0.6753101293685698
8,0,0.5366302390801689,0.3101147889709212,0.3416604662610591,1.1601583766661745
8,1,0.5237313099799547,0.3260534657211705,0.49470205810673534,0.47460269406969713
8,2,0.5423324517107679,0.38745168748784153,0.4401003411420272,3.6043139641269475
8,3,0.5027506524193421,0.32220052426636203,0.49517475127173793,0.6250891693110312
8,4,0.6039250518585886,0.4177098918941251,0.5106202781166117,0.7036361292136394
9,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,0.5716937771730751
9,1,0.5237313099799547,0.3260534657211705,0.49470205810673534,0.4548853297410351
9,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,0.9535789906905313
9,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.5611244420930251
9,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.4538636622901415
10,0,0.5366302390801688,0.3101147889709212,0.3416604662610591,1.4500716803411278
10,1,0.5121787889089746,0.3260534657211705,0.49470205810673534,0.5113062009650429
10,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,0.7641799465616779
10,3,0.5027506524193419,0.32220052426636203,0.49517475127173793,0.5430582857524169
10,4,0.6039250518585888,0.4177098918941251,0.5106202781166117,0.49596821286572407
11,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,0.7027992310471354
11,1,0.5237313099799545,0.3260534657211705,0.49470205810673534,0.6060168640436122
11,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,0.6214312787952136
11,3,0.5027506524193422,0.32220052426636203,0.49517475127173793,0.5354223546671811
11,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.6724317676221352
12,0,0.5366302390801688,0.3101147889709212,0.3416604662610591,3.4818434086704384
12,1,0.5237313099799547,0.3260534657211705,0.49470205810673534,0.49077883710418374
12,2,0.5423324517107676,0.38745168748784153,0.4401003411420272,2.3831149930233253
12,3,0.5027506524193421,0.32220052426636203,0.49517475127173793,0.47365590404892793
12,4,0.6039250518585887,0.4177098918941251,0.5106202781166117,0.4555475186802104
13,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,0.655551532461395
13,1,0.5121787889089747,0.3260534657211705,0.49470205810673534,0.4132542163594686
13,2,0.5423324517107679,0.38745168748784153,0.4401003411420272,0.6522392306176502
13,3,0.5027506524193421,0.32220052426636203,0.49517475127173793,0.6376689382375608
13,4,0.6039250518585888,0.4177098918941251,0.5106202781166117,0.6231674359768641
14,0,0.5366302390801688,0.3101147889709212,0.3416604662610591,0.940808721574991
14,1,0.5237313099799547,0.3260534657211705,0.49470205810673534,0.554800073185019
14,2,0.5492037699343014,0.38745168748784153,0.4401003411420272,7.979591637429149
14,3,0.5027506524193421,0.32220052426636203,0.49517475127173793,0.51179048044572
14,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.49471478106770883
15,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,2.814938306702036
15,1,0.5237313099799547,0.3260534657211705,0.49470205810673534,0.6040790204805685
15,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,0.8894642587797492
15,3,0.5027506524193424,0.32220052426636203,0.49517475127173793,0.5664419334785407
15,4,0.6039250518585886,0.4177098918941251,0.5106202781166117,0.6160758141192854
16,0,0.5366302390801685,0.3101147889709212,0.3416604662610591,0.7003811425239853
16,1,0.5121787889089746,0.3260534657211705,0.49470205810673534,0.5526347136844048
16,2,0.556222264839502,0.38745168748784153,0.4401003411420272,13.930149819793831
16,3,0.5027506524193422,0.32220052426636203,0.49517475127173793,0.5998672410050917
16,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.6072155050893454
17,0,0.5366302390801685,0.3101147889709212,0.3416604662610591,1.1679807264913873
17,1,0.5237313099799548,0.3260534657211705,0.49470205810673534,0.6454505535123947
17,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,1.1616066660049387
17,3,0.5027506524193419,0.32220052426636203,0.49517475127173793,0.475992010411453
17,4,0.6032648025512884,0.4177098918941251,0.5106202781166117,0.7256368574039849
18,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,1.043576720401896
18,1,0.5237313099799548,0.3260534657211705,0.49470205810673534,0.46540352264641
18,2,0.556222264839502,0.38745168748784153,0.4401003411420272,2.6750032608995142
18,3,0.5027506524193424,0.32220052426636203,0.49517475127173793,0.5670316757082444
18,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.5404652935950487
19,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,1.9822801610068013
19,1,0.5237313099799547,0.3260534657211705,0.49470205810673534,0.4622166684973788
19,2,0.5630935830630358,0.38745168748784153,0.4401003411420272,3.2613370481571713
19,3,0.5027506524193417,0.32220052426636203,0.49517475127173793,0.589581633367437
19,4,0.6039250518585887,0.4177098918941251,0.5106202781166117,0.5429716682939972
20,0,0.5366302390801686,0.3101147889709212,0.3416604662610591,2.0551426244671056
20,1,0.5237313099799548,0.3260534657211705,0.49470205810673534,0.5712671222576061
20,2,0.5492037699343016,0.38745168748784153,0.4401003411420272,1.576591953854184
20,3,0.5027506524193419,0.32220052426636203,0.49517475127173793,0.5029530600393027
20,4,0.6039250518585887,0.4177098918941251,0.5106202781166117,0.6072038393296452
21,0,0.5366302390801685,0.3101147889709212,0.3416604662610591,0.9664790946446737
21,1,0.5237313099799545,0.3260534657211705,0.49470205810673534,0.40032185501595885
21,2,0.5492037699343014,0.38745168748784153,0.4401003411420272,0.6547925502819105
21,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.5065701699785868
21,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.6340682549717491
22,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,0.34917590270540333
22,1,0.5237313099799548,0.3260534657211705,0.49470205810673534,0.4519706135771902
22,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,0.9863241576002492
22,3,0.5027506524193422,0.32220052426636203,0.49517475127173793,0.5926145951823404
22,4,0.6039250518585887,0.4177098918941251,0.5106202781166117,0.6992437680622688
23,0,0.5366302390801689,0.3101147889709212,0.3416604662610591,1.5971243807866187
23,1,0.5121787889089747,0.3260534657211705,0.49470205810673534,0.5187353975451023
23,2,0.5630935830630358,0.38745168748784153,0.4401003411420272,7.823623374991422
23,3,0.5027506524193421,0.32220052426636203,0.49517475127173793,0.5182133133964509
23,4,0.6039250518585887,0.4177098918941251,0.5106202781166117,0.6262494741041923
24,0,0.5366302390801686,0.3101147889709212,0.3416604662610591,2.3899145741263976
24,1,0.5237313099799547,0.3260534657211705,0.49470205810673534,0.42449635678336606
24,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,1.110784744461475
24,3,0.5027506524193421,0.32220052426636203,0.49517475127173793,0.5273027526616357
24,4,0.6039250518585888,0.4177098918941251,0.5106202781166117,0.4666951921043098
25,0,0.5366302390801686,0.3101147889709212,0.3416604662610591,1.4408186303412032
25,1,0.5121787889089748,0.3260534657211705,0.49470205810673534,0.42104691384518717
25,2,0.5562222648395021,0.38745168748784153,0.4401003411420272,2.3632052862639825
25,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.5890480487072288
25,4,0.603264802551288,0.4177098918941251,0.5106202781166117,0.595130479105867
26,0,0.5366302390801686,0.3101147889709212,0.3416604662610591,1.4229876325500204
26,1,0.5121787889089751,0.3260534657211705,0.49470205810673534,0.6386555328123397
26,2,0.5630935830630359,0.38745168748784153,0.4401003411420272,1.004689684870395
26,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.5448767893457632
26,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.5536879631359697
27,0,0.5366302390801686,0.3101147889709212,0.3416604662610591,0.9032595499271062
27,1,0.5237313099799547,0.3260534657211705,0.49470205810673534,0.4728650875335135
27,2,0.5630935830630357,0.38745168748784153,0.4401003411420272,1.4153195554785227
27,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.6174067402215618
27,4,0.6032648025512882,0.4177098918941251,0.5106202781166117,0.6140808686896538
28,0,0.5366302390801688,0.3101147889709212,0.3416604662610591,3.6624889088521666
28,1,0.512178788908975,0.3260534657211705,0.49470205810673534,0.3611298490507729
28,2,0.5492037699343015,0.38745168748784153,0.4401003411420272,3.9925794319502446
28,3,0.5027506524193422,0.32220052426636203,0.49517475127173793,0.6286544765673496
28,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.5196561330947705
29,0,0.5366302390801686,0.3101147889709212,0.3416604662610591,0.6696448724640738
29,1,0.5121787889089748,0.3260534657211705,0.49470205810673534,0.4456866832372022
29,2,0.5423324517107679,0.38745168748784153,0.4401003411420272,1.3244819896764752
29,3,0.5027506524193421,0.32220052426636203,0.49517475127173793,0.5631496417910199
29,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.518891635260436
30,0,0.5366302390801688,0.3101147889709212,0.3416604662610591,0.5911488293023751
30,1,0.5237313099799548,0.3260534657211705,0.49470205810673534,0.45221619309718103
30,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,12.332179109414712
30,3,0.5027506524193417,0.32220052426636203,0.49517475127173793,0.46693453104059957
30,4,0.6039250518585887,0.4177098918941251,0.5106202781166117,0.6157964662171623
31,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,0.6575710595982005
31,1,0.5121787889089746,0.3260534657211705,0.49470205810673534,0.4308616953294972
31,2,0.5423324517107676,0.38745168748784153,0.4401003411420272,9.246527986086893
31,3,0.5027506524193419,0.32220052426636203,0.49517475127173793,0.45840681860113164
31,4,0.6039250518585887,0.4177098918941251,0.5106202781166117,0.7425770372470814
32,0,0.5366302390801689,0.3101147889709212,0.3416604662610591,2.062879554134055
32,1,0.512178788908975,0.3260534657211705,0.49470205810673534,0.45285988753009276
32,2,0.5423324517107679,0.38745168748784153,0.4401003411420272,1.73712368907167
32,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.6450314216140653
32,4,0.6039250518585884,0.4177098918941251,0.5106202781166117,0.5007059567445357
33,0,0.5366302390801686,0.3101147889709212,0.3416604662610591,0.7855991520329119
33,1,0.5237313099799544,0.3260534657211705,0.49470205810673534,0.5126622269847175
33,2,0.5492037699343015,0.38745168748784153,0.4401003411420272,2.1187255039443205
33,3,0.5027506524193417,0.32220052426636203,0.49517475127173793,0.7035016813577826
33,4,0.6039250518585885,0.4177098918941251,0.5106202781166117,0.6768222999726718
34,0,0.5366302390801688,0.3101147889709212,0.3416604662610591,0.9248328512986957
34,1,0.5237313099799547,0.3260534657211705,0.49470205810673534,0.6049107762593726
34,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,13.52800877818121
34,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.5174313557384015
34,4,0.6039250518585885,0.4177098918941251,0.5106202781166117,0.7913993140137429
35,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,1.528335638606716
35,1,0.512178788908975,0.3260534657211705,0.49470205810673534,0.6020901403148504
35,2,0.5423324517107679,0.38745168748784153,0.4401003411420272,0.5903717611458269
35,3,0.5027506524193421,0.32220052426636203,0.49517475127173793,0.46457157764559764
35,4,0.6039250518585887,0.4177098918941251,0.5106202781166117,0.6592583993134888
36,0,0.5366302390801685,0.3101147889709212,0.3416604662610591,0.9886536642195658
36,1,0.5237313099799545,0.3260534657211705,0.49470205810673534,0.4577258567477954
36,2,0.556222264839502,0.38745168748784153,0.4401003411420272,0.8884666452813659
36,3,0.5027506524193422,0.32220052426636203,0.49517475127173793,0.5644595985802688
36,4,0.6039250518585886,0.4177098918941251,0.5106202781166117,0.5573719486895726
37,0,0.5366302390801686,0.3101147889709212,0.3416604662610591,0.7556018824112986
37,1,0.5237313099799545,0.3260534657211705,0.49470205810673534,0.5807166547138017
37,2,0.5562222648395018,0.38745168748784153,0.4401003411420272,2.4650389696891084
37,3,0.5027506524193421,0.32220052426636203,0.49517475127173793,0.6416295907530778
37,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.6487318972244206
38,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,1.0459856958443532
38,1,0.5121787889089748,0.3260534657211705,0.49470205810673534,0.4646984578152771
38,2,0.5423324517107679,0.38745168748784153,0.4401003411420272,1.483696452675143
38,3,0.5027506524193419,0.32220052426636203,0.49517475127173793,0.6249143127071575
38,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.5923387297372734
39,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,3.6008704665500546
39,1,0.5237313099799545,0.3260534657211705,0.49470205810673534,0.465106966956359
39,2,0.5562222648395021,0.38745168748784153,0.4401003411420272,1.0889356975688422
39,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.701060403138331
39,4,0.6032648025512882,0.4177098918941251,0.5106202781166117,0.6850212616575482
40,0,0.5366302390801685,0.3101147889709212,0.3416604662610591,0.8852841836282158
40,1,0.5121787889089748,0.3260534657211705,0.49470205810673534,0.4752963120945555
40,2,0.5562222648395019,0.38745168748784153,0.4401003411420272,5.574411550961148
40,3,0.5027506524193422,0.32220052426636203,0.49517475127173793,0.5147477973371851
40,4,0.6039250518585887,0.4177098918941251,0.5106202781166117,0.5455400923492947
41,0,0.5366302390801689,0.3101147889709212,0.3416604662610591,0.6492231966176137
41,1,0.5237313099799548,0.3260534657211705,0.49470205810673534,0.6168421596111241
41,2,0.5492037699343016,0.38745168748784153,0.4401003411420272,0.8092486334233407
41,3,0.5027506524193421,0.32220052426636203,0.49517475127173793,0.5280826100317535
41,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.5009216707037882
42,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,1.0729056720002372
42,1,0.5237313099799548,0.3260534657211705,0.49470205810673534,0.46032855826933733
42,2,0.5492037699343015,0.38745168748784153,0.4401003411420272,2.524178932827041
42,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.4775184892911261
42,4,0.6032648025512881,0.4177098918941251,0.5106202781166117,0.6808452782008017
43,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,1.999357875043063
43,1,0.5121787889089747,0.3260534657211705,0.49470205810673534,0.4946768191681141
43,2,0.5492037699343015,0.38745168748784153,0.4401003411420272,2.3897609032608353
43,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.5961687338600918
43,4,0.6039250518585887,0.4177098918941251,0.5106202781166117,0.583958621523486
44,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,1.0793822806900197
44,1,0.5237313099799545,0.3260534657211705,0.49470205810673534,0.4387554675802823
44,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,1.5017127346835735
44,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.5762132641107405
44,4,0.6039250518585888,0.4177098918941251,0.5106202781166117,0.5510665931139864
45,0,0.5366302390801685,0.3101147889709212,0.3416604662610591,0.5473974287240244
45,1,0.5237313099799548,0.3260534657211705,0.49470205810673534,0.4924877233876841
45,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,0.8924403773641013
45,3,0.5027506524193422,0.32220052426636203,0.49517475127173793,0.4605225956966395
45,4,0.6039250518585886,0.4177098918941251,0.5106202781166117,0.5111555899693212
46,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,1.538054084015202
46,1,0.5237313099799547,0.3260534657211705,0.49470205810673534,0.4265277048924238
46,2,0.5492037699343016,0.38745168748784153,0.4401003411420272,0.8028753830180608
46,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.43569688217733166
46,4,0.6032648025512883,0.4177098918941251,0.5106202781166117,0.48350059386464694
47,0,0.5366302390801687,0.3101147889709212,0.3416604662610591,0.607770508231101
47,1,0.5121787889089748,0.3260534657211705,0.49470205810673534,0.41351609506822645
47,2,0.5423324517107679,0.38745168748784153,0.4401003411420272,26.112411806129703
47,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.6332608053460801
47,4,0.6032648025512883,0.4177098918941251,0.5106202781166117,0.7086555683571956
48,0,0.5366302390801688,0.3101147889709212,0.3416604662610591,1.6833345663079071
48,1,0.512178788908975,0.3260534657211705,0.49470205810673534,0.4439985454312523
48,2,0.5423324517107678,0.38745168748784153,0.4401003411420272,1.0668788544164636
48,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.6949551419623958
48,4,0.6032648025512883,0.4177098918941251,0.5106202781166117,0.6392013132028969
49,0,0.5366302390801684,0.3101147889709212,0.3416604662610591,0.4342678344350259
49,1,0.5121787889089748,0.3260534657211705,0.49470205810673534,0.5253372936768734
49,2,0.5423324517107677,0.38745168748784153,0.4401003411420272,1.2637768718282403
49,3,0.502750652419342,0.32220052426636203,0.49517475127173793,0.5062484592414929
